hours_worked,fuel_cost_tzs,distance_km,rainy_day,road_condition,location_type,daily_income_tzs
,,126,Yes,,Urban,28407
7,10360,171,No,Good,Semi-Urban,22805
11,8859,68,Yes,Poor,Rural,20237
8,10331,75,Yes,Poor,Semi-Urban,31943
,,126,No,,Rural,27775
13,4492,110,Yes,Good,Semi-Urban,31244
6,11208,125,Yes,Fair,Urban,28184
10,9276,67,No,Good,Urban,18343
11,6062,105,No,Fair,Semi-Urban,28500
8,7884,84,Yes,Fair,Rural,24662
,,126,Yes,,Urban,31964
11,6568,173,No,Fair,Urban,30125
8,9056,126,No,Poor,Urban,23130
6,9248,67,No,Poor,Semi-Urban,34531
9,6027,147,No,Good,Semi-Urban,16679
8,6695,83,Yes,Fair,Rural,18506
5,5495,123,No,Good,Rural,28284
11,11230,69,No,Good,Rural,22253
9,9258,114,Yes,Fair,Semi-Urban,34128
5,9618,167,No,Poor,Semi-Urban,24435
8,10736,131,Yes,Fair,Rural,26310
4,4391,168,No,Poor,Rural,28296
13,9794,160,No,Good,Semi-Urban,33525
9,8514,66,No,Poor,Rural,28245
12,10432,160,Yes,Poor,Urban,26151
4,8474,155,Yes,Poor,Semi-Urban,25457
13,9892,42,No,Good,Rural,17479
6,7561,142,Yes,Good,Semi-Urban,19452
8,9056,126,Yes,Poor,Urban,20881
7,11161,101,Yes,Poor,Semi-Urban,29069
12,10184,90,Yes,Fair,Semi-Urban,17849
6,7099,98,Yes,Poor,Semi-Urban,22390
8,10278,157,Yes,Fair,Semi-Urban,26922
6,4200,135,No,Poor,Urban,17489
10,9959,152,No,Fair,Semi-Urban,24823
8,9056,126,Yes,Poor,Semi-Urban,24207
12,11073,91,No,Poor,Rural,24540
10,7104,51,No,Poor,Semi-Urban,31364
5,11215,78,No,Poor,Rural,19611
7,8598,169,No,Poor,Urban,34223
12,6454,170,Yes,Fair,Urban,20878
5,7645,152,No,Poor,Urban,31347
13,9847,140,No,Good,Urban,15851
12,4804,152,Yes,Good,Rural,33071
13,10242,120,Yes,Poor,Semi-Urban,21833
8,6731,152,No,Good,Urban,26938
5,9991,41,No,Poor,Semi-Urban,17427
7,6773,169,No,Poor,Rural,19000
10,5570,93,No,Good,Rural,20052
11,9056,126,No,Poor,Rural,17738
6,11906,168,No,Good,Urban,20387
4,10756,165,Yes,Fair,Semi-Urban,23002
7,9581,169,No,Poor,Semi-Urban,20536
5,6690,92,No,Fair,Semi-Urban,28479
11,7840,107,Yes,Good,Rural,18913
7,5028,162,Yes,Fair,Urban,32450
5,11385,77,Yes,Fair,Rural,25636
9,4502,63,Yes,Good,Rural,20726
9,10910,108,No,Fair,Semi-Urban,18373
13,8493,155,No,Fair,Rural,27161
7,4870,137,No,Good,Semi-Urban,17082
8,9056,126,No,Poor,Urban,31281
5,8488,136,No,Good,Semi-Urban,30305
8,9056,126,No,Poor,Urban,24817
5,9134,109,Yes,Good,Semi-Urban,26261
13,9977,132,No,Good,Rural,15417
7,11721,42,Yes,Fair,Rural,23808
11,11035,129,Yes,Fair,Urban,18267
10,5484,135,No,Fair,Urban,32209
12,11858,91,Yes,Poor,Urban,20745
11,11742,167,No,Poor,Semi-Urban,26338
8,4863,78,Yes,Poor,Semi-Urban,15412
5,6790,121,No,Good,Urban,22543
8,11408,143,Yes,Fair,Rural,22587
11,4563,168,No,Good,Semi-Urban,15728
