hours_worked,number_of_trips,fuel_cost,rainy_day,road_condition,location_type,daily_income
12,37,12777,No,Fair,Rural,91481.65
9,30,5197,Yes,Fair,Urban,80600.1
10,34,12125,No,Fair,Urban,87998.66
12,38,6930,No,Poor,Rural,98783.44
8,24,11287,No,Poor,Rural,53053.48
10,33,13800,No,Poor,Rural,74293.56
10,24,14339,No,Good,Rural,56330.43
12,51,9282,Yes,Fair,Rural,126922.36
7,25,7511,Yes,Good,Urban,65741.14
8,28,14986,No,Poor,Rural,60604.96
12,38,5659,No,Fair,Urban,104337.54
8,28,7811,Yes,Good,Urban,71886.87
8,27,12098,Yes,Fair,Urban,63584.44
10,34,11546,No,Good,Rural,81552.93
9,38,14561,Yes,Fair,Urban,90604.45
8,34,6986,No,Poor,Urban,87368.96
11,36,13338,Yes,Poor,Rural,82507.32
10,41,7911,No,Fair,Urban,106652.16
7,15,6734,Yes,Good,Urban,43098.38
9,31,6843,No,Poor,Rural,74185.2
11,22,13680,Yes,Poor,Urban,49462.65
11,26,7976,Yes,Poor,Urban,65787.02
7,24,6959,No,Fair,Urban,66967.92
9,39,10759,Yes,Fair,Rural,90680.87
10,23,11694,No,Good,Rural,56600.15
6,21,7385,Yes,Good,Rural,47839.16
9,21,9736,No,Good,Urban,57628.88
7,16,6802,Yes,Fair,Urban,40439.18
11,23,13155,No,Fair,Rural,53421.12
10,23,13120,Yes,Good,Urban,58121.9
9,36,11616,No,Good,Urban,95901.46
6,12,10534,Yes,Fair,Rural,17654.3
6,12,9061,No,Good,Rural,29355.23
8,16,5262,No,Poor,Urban,45529.94
8,34,11287,No,Fair,Urban,85161.36
12,24,13815,Yes,Good,Urban,60363.41
7,17,14208,No,Fair,Rural,34857.51
9,40,7049,Yes,Poor,Rural,95294.47
9,36,10423,No,Fair,Rural,84275.9
12,50,9548,Yes,Fair,Rural,122996.6
11,24,8108,No,Fair,Urban,68608.56
11,44,12158,Yes,Fair,Rural,105128.8
12,52,12400,Yes,Poor,Rural,121659.71
11,22,8170,No,Fair,Rural,53816.99
8,34,14874,Yes,Fair,Rural,72637.04
9,19,7255,Yes,Good,Rural,51125.98
12,39,6154,No,Fair,Urban,105028.5
9,38,9499,Yes,Good,Urban,96236.9
6,18,11295,Yes,Poor,Rural,33293.06
8,19,11197,Yes,Poor,Urban,43116.21
10,40,14888,No,Poor,Rural,90811.69
8,16,6648,Yes,Poor,Rural,37389.08
12,37,10539,No,Good,Urban,98681.11
10,23,14637,Yes,Fair,Urban,53841.58
6,27,9199,Yes,Poor,Rural,57603.86
12,49,13445,Yes,Fair,Rural,114847.89
7,23,7557,No,Good,Rural,54782.02
9,18,10592,Yes,Good,Urban,46811.98
6,28,5098,Yes,Good,Rural,70622.5
9,27,7200,No,Poor,Rural,65906.87
11,44,7961,Yes,Fair,Rural,108174.11
7,30,9973,No,Fair,Urban,76151.1
7,14,9433,No,Fair,Rural,30179.37
6,25,7869,Yes,Good,Rural,59406.22
7,15,5956,No,Poor,Urban,39785.84
10,43,13352,Yes,Good,Rural,99112.82
7,25,10699,No,Good,Rural,56428.52
9,36,11944,No,Fair,Urban,91174.51
9,18,9493,Yes,Good,Rural,43098.04
12,26,14492,No,Fair,Urban,66864.23
9,28,9911,No,Poor,Urban,70612.95
12,52,8987,No,Fair,Rural,131700.66
9,39,14719,No,Poor,Rural,88060.32
10,31,11015,No,Fair,Rural,75724.29
12,51,6218,Yes,Good,Rural,132271.76
8,34,9496,No,Good,Urban,88072.41
11,24,9735,Yes,Poor,Rural,50755.61
6,24,9555,No,Poor,Urban,57917.69
9,40,14146,Yes,Poor,Rural,86324.99
7,24,13050,Yes,Fair,Rural,50197.94
